"filename", "language", "JSON", "JSON with Comments", "TypeScript", "Markdown", "YAML", "Ignore", "JavaScript", "SCSS", "HTML", "comment", "blank", "total"
"c:\Users\mat_f\Documents\Projet2\LOG2990-302\server\app\classes\http.exception.spec.ts", "TypeScript", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 3, 13
"c:\Users\mat_f\Documents\Projet2\LOG2990-302\server\app\classes\http.exception.ts", "TypeScript", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 2, 9
"c:\Users\mat_f\Documents\Projet2\LOG2990-302\server\app\classes\socket-manager.spec.ts", "TypeScript", 0, 0, 33, 0, 0, 0, 0, 0, 0, 1, 8, 42
"c:\Users\mat_f\Documents\Projet2\LOG2990-302\server\app\classes\socket-manager.ts", "TypeScript", 0, 0, 85, 0, 0, 0, 0, 0, 0, 3, 11, 99
"c:\Users\mat_f\Documents\Projet2\LOG2990-302\server\app\classes\timer.spec.ts", "TypeScript", 0, 0, 60, 0, 0, 0, 0, 0, 0, 1, 9, 70
"c:\Users\mat_f\Documents\Projet2\LOG2990-302\server\app\classes\timer.ts", "TypeScript", 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 5, 50
"c:\Users\mat_f\Documents\Projet2\LOG2990-302\server\app\const.ts", "TypeScript", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\mat_f\Documents\Projet2\LOG2990-302\server\app\controllers\data.controller.spec.ts", "TypeScript", 0, 0, 103, 0, 0, 0, 0, 0, 0, 8, 11, 122
"c:\Users\mat_f\Documents\Projet2\LOG2990-302\server\app\controllers\data.controller.ts", "TypeScript", 0, 0, 36, 0, 0, 0, 0, 0, 0, 3, 6, 45
"c:\Users\mat_f\Documents\Projet2\LOG2990-302\server\app\controllers\difference-detect.controller.spec.ts", "TypeScript", 0, 0, 33, 0, 0, 0, 0, 0, 0, 4, 9, 46
"c:\Users\mat_f\Documents\Projet2\LOG2990-302\server\app\controllers\difference-detect.controller.ts", "TypeScript", 0, 0, 27, 0, 0, 0, 0, 0, 0, 2, 5, 34
"c:\Users\mat_f\Documents\Projet2\LOG2990-302\server\app\env.ts", "TypeScript", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 3
"c:\Users\mat_f\Documents\Projet2\LOG2990-302\server\app\index.ts", "TypeScript", 0, 0, 15, 0, 0, 0, 0, 0, 0, 1, 5, 21
"c:\Users\mat_f\Documents\Projet2\LOG2990-302\server\app\interfaces\client-game-data.ts", "TypeScript", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 1, 14
"c:\Users\mat_f\Documents\Projet2\LOG2990-302\server\app\interfaces\game-data.ts", "TypeScript", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 1, 16
"c:\Users\mat_f\Documents\Projet2\LOG2990-302\server\app\interfaces\player.ts", "TypeScript", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 2, 12
"c:\Users\mat_f\Documents\Projet2\LOG2990-302\server\app\interfaces\vec2.ts", "TypeScript", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\mat_f\Documents\Projet2\LOG2990-302\server\app\server.ts", "TypeScript", 0, 0, 63, 0, 0, 0, 0, 0, 0, 7, 10, 80
"c:\Users\mat_f\Documents\Projet2\LOG2990-302\server\app\services\database.service.ts", "TypeScript", 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 5, 28
"c:\Users\mat_f\Documents\Projet2\LOG2990-302\server\app\services\date.service.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 6, 32
"c:\Users\mat_f\Documents\Projet2\LOG2990-302\server\app\services\difference-detect.service.spec.ts", "TypeScript", 0, 0, 161, 0, 0, 0, 0, 0, 0, 15, 33, 209
"c:\Users\mat_f\Documents\Projet2\LOG2990-302\server\app\services\difference-detect.service.ts", "TypeScript", 0, 0, 117, 0, 0, 0, 0, 0, 0, 4, 12, 133
"c:\Users\mat_f\Documents\Projet2\LOG2990-302\server\app\services\game-data.service.spec.ts", "TypeScript", 0, 0, 37, 0, 0, 0, 0, 0, 0, 2, 6, 45
"c:\Users\mat_f\Documents\Projet2\LOG2990-302\server\app\services\game-data.service.ts", "TypeScript", 0, 0, 61, 0, 0, 0, 0, 0, 0, 2, 11, 74
"c:\Users\mat_f\Documents\Projet2\LOG2990-302\server\data\games.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\mat_f\Documents\Projet2\LOG2990-302\server\mocha-helper.ts", "TypeScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\mat_f\Documents\Projet2\LOG2990-302\server\nodemon.json", "JSON", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11
"c:\Users\mat_f\Documents\Projet2\LOG2990-302\server\package-lock.json", "JSON", 14225, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14226
"c:\Users\mat_f\Documents\Projet2\LOG2990-302\server\package.json", "JSON", 28, 0, 0, 0, 0, 0, 0, 0, 0, 85, 0, 113
"c:\Users\mat_f\Documents\Projet2\LOG2990-302\server\tsconfig.app.json", "JSON", 4, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 6
"c:\Users\mat_f\Documents\Projet2\LOG2990-302\server\tsconfig.json", "JSON with Comments", 0, 21, 0, 0, 0, 0, 0, 0, 0, 5, 0, 26
"c:\Users\mat_f\Documents\Projet2\LOG2990-302\server\tsconfig.spec.json", "JSON", 3, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 5
"c:\Users\mat_f\Documents\Projet2\LOG2990-302\workspace.code-workspace", "JSON with Comments", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"Total", "-", 40200, 313, 3294, 278, 203, 2, 41, 770, 374, 498, 971, 46944
